dataset_source,time_frequency,week_start,store_id,store_available,product_id,category_general,category_detail,region,units_sold,price,promotion_visibility,promotion_known,vendor_id,color,inventory_level_end_of_week,units_ordered_weekly,existing_demand_forecast_weekly,observed_days,target_next_week_units_sold,target_available,year,month,iso_week,sales_lag_1_week,sales_lag_4_weeks,sales_rolling_mean_4_weeks,sales_rolling_mean_8_weeks,sales_rolling_std_4_weeks
data_raw,weekly,2016-10-31,data_raw::GLOBAL,0,data_raw::1,Electronics,Mobile phone accessories,,135.0,10.16,1,1,6,black,,,,7,102.0,1,2016,10,44,,,,,
data_raw,weekly,2016-11-07,data_raw::GLOBAL,0,data_raw::1,Electronics,Mobile phone accessories,,102.0,9.86,1,1,6,black,,,,7,110.0,1,2016,11,45,135.0,,135.0,135.0,
data_raw,weekly,2016-11-14,data_raw::GLOBAL,0,data_raw::1,Electronics,Mobile phone accessories,,110.0,10.24,1,1,6,black,,,,7,127.0,1,2016,11,46,102.0,,118.5,118.5,23.3345
data_raw,weekly,2016-11-21,data_raw::GLOBAL,0,data_raw::1,Electronics,Mobile phone accessories,,127.0,8.27,1,1,6,black,,,,7,84.0,1,2016,11,47,110.0,,115.6667,115.6667,17.2143
data_raw,weekly,2016-11-28,data_raw::GLOBAL,0,data_raw::1,Electronics,Mobile phone accessories,,84.0,8.83,1,1,6,black,,,,7,87.0,1,2016,11,48,127.0,135.0,118.5,118.5,15.1548
data_raw,weekly,2016-12-05,data_raw::GLOBAL,0,data_raw::1,Electronics,Mobile phone accessories,,87.0,8.98,1,1,6,black,,,,7,64.0,1,2016,12,49,84.0,102.0,105.75,111.6,17.8582
data_raw,weekly,2016-12-12,data_raw::GLOBAL,0,data_raw::1,Electronics,Mobile phone accessories,,64.0,10.4,1,1,6,black,,,,7,128.0,1,2016,12,50,87.0,110.0,102.0,107.5,20.3142
data_raw,weekly,2016-12-19,data_raw::GLOBAL,0,data_raw::1,Electronics,Mobile phone accessories,,128.0,9.57,1,1,6,black,,,,7,23.0,1,2016,12,51,64.0,127.0,90.5,101.2857,26.3881
data_raw,weekly,2016-12-26,data_raw::GLOBAL,0,data_raw::1,Electronics,Mobile phone accessories,,23.0,10.49,1,1,6,black,,,,7,154.0,1,2016,12,52,128.0,84.0,90.75,104.625,26.8499
data_raw,weekly,2017-01-02,data_raw::GLOBAL,0,data_raw::1,Electronics,Mobile phone accessories,,154.0,9.19,1,1,6,black,,,,7,85.0,1,2017,1,1,23.0,87.0,75.5,90.625,43.8824
